site,block,id.plot,species,height_growth,transmitted_light,ground_vegetation_treatment,dds,year,time_interval
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Pinus.uncinata,0,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Pinus.uncinata,0.010869565,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Abies.alba,0,13.0275,V,704.9116746,2010,76
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Pinus.uncinata,-0.006578947,13.0275,V,704.9116746,2010,76
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Abies.alba,0,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Abies.alba,-0.010869565,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Quercus.petraea,0,13.0275,V,704.9116746,2010,76
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Abies.alba,-0.010869565,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Abies.alba,0.010869565,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Pinus.uncinata,0.054347826,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Abies.alba,0,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,1,Bachat_Bouloud 1 V,Pinus.uncinata,0.010869565,13.0275,V,704.9116746,2010,46
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Abies.alba,0,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Quercus.petraea,-0.005555556,54.595,NV,1007.022694,2009,90
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Fagus.sylvatica,0.014285714,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Pinus.uncinata,0.005714286,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Quercus.petraea,0.085714286,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Quercus.petraea,0.028571429,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Quercus.petraea,0.014285714,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Abies.alba,0.005714286,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Quercus.petraea,0.014285714,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Pinus.uncinata,0,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Larix.decidua,0,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Abies.alba,0.014285714,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Abies.alba,0,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Abies.alba,0,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Quercus.petraea,0,54.595,NV,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 NV,Quercus.petraea,0.006578947,54.595,NV,704.9116746,2010,76
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Fagus.sylvatica,0.028571429,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0.185714286,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,-0.042857143,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0,47.035,V,1007.022694,2009,90
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,-0.011111111,47.035,V,1007.022694,2009,90
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0.005555556,47.035,V,1007.022694,2009,90
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0.028571429,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Fagus.sylvatica,0.014285714,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Larix.decidua,0,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,-0.028571429,47.035,V,1007.022694,2009,35
